"�gproduktion og produktionsformer efter enhed og tid"

"oeggetype","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Buroeg (mio kg)",34,33,31,27,20,15,14,12,10,8,8
"Frilandsoeg (mio kg)",3,3,4,4,5,6,7,6,5,6,6
"Skrabeoeg (mio. kg)",13,13,13,18,24,26,31,35,40,37,36
"oekologiske �g (mio. kg)",11,12,15,17,19,22,22,23,25,25,22

