year,kilograms,country
2018,17.255041,Netherlands
2019,22.147799,Netherlands
2020,21.58971,Netherlands
2021,19.337183,Netherlands
2022,32.45116,Netherlands
2012,7.24087,Poland
2013,7.4370627,Poland
2014,7.8645787,Poland
2015,7.163304,Poland
2016,7.3009515,Poland
2017,6.486783,Poland
2018,8.804095,Poland
2019,8.509191,Poland
2020,8.44658,Poland
2021,6.3946495,Poland
2022,5.575851,Poland
2012,9.177849,Portugal
2013,9.305595,Portugal
2014,9.061935,Portugal
2015,10.425191,Portugal
2016,9.4975195,Portugal
2017,10.206973,Portugal
2018,11.002068,Portugal
2019,11.162238,Portugal
2020,10.794246,Portugal
2021,10.715031,Portugal
2022,11.713303,Portugal
2012,14.304883,Romania
2013,14.582682,Romania
2014,14.650306,Romania
2015,14.385374,Romania
2016,14.164895,Romania
2017,13.576542,Romania
2018,13.356101,Romania
2019,13.365548,Romania
2020,12.882879,Romania
2021,13.606631,Romania
2022,13.3751,Romania
2012,14.531944,Slovakia
2013,17.90445,Slovakia
2014,14.381639,Slovakia
2015,13.110197,Slovakia
2016,13.780107,Slovakia
2017,15.480749,Slovakia
2018,15.360045,Slovakia
2019,15.319396,Slovakia
2020,12.413865,Slovakia
2021,11.430299,Slovakia
2022,9.8677845,Slovakia
2012,11.418708,Slovenia
2013,10.390102,Slovenia
2014,10.392992,Slovenia
2015,10.162369,Slovenia
2016,11.335611,Slovenia
2017,11.578777,Slovenia
2018,11.234661,Slovenia
2019,11.916403,Slovenia
2020,11.29142,Slovenia
2021,10.810399,Slovenia
2022,8.739195,Slovenia
2012,13.076668,Spain
2013,13.445885,Spain
2014,14.132263,Spain
2015,13.785096,Spain
2016,14.658185,Spain
2017,14.660505,Spain
2018,14.854532,Spain
2019,14.923836,Spain
2020,14.950372,Spain
2021,14.05639,Spain
2022,14.806034,Spain
2012,13.190466,Sweden
2013,13.326782,Sweden
2014,13.048432,Sweden
2015,12.995858,Sweden
2016,13.871941,Sweden
2017,13.730517,Sweden
2018,14.121857,Sweden
2019,14.334437,Sweden
2020,13.27965,Sweden
2021,12.89285,Sweden
2022,13.388765,Sweden
