country,type,year,amount
Finland,Export,2014,7056.6
Finland,Import,2015,1880.9
Finland,Export,2015,8442.65
Finland,Import,2016,1561.16
Finland,Export,2016,8545.94
Finland,Import,2017,1268.14
Finland,Export,2017,8223.82
Finland,Import,2018,1801.26
Finland,Export,2018,9737.17
Finland,Import,2019,1755.42
Finland,Export,2019,9660.45
Finland,Import,2020,2332.46
Finland,Export,2020,8003.43
Finland,Import,2021,1907.03
Finland,Export,2021,10877.95
Finland,Import,2022,2221.98
Finland,Export,2022,14407.7
Finland,Import,2023,2234.1
Finland,Export,2023,10970.21
France,Import,2013,43710
France,Export,2013,38411
France,Import,2014,33353.83
France,Export,2014,44212.86
France,Import,2015,41130.4
France,Export,2015,43827.68
France,Import,2016,59935.26
France,Export,2016,37220.8
France,Import,2017,67951.22
France,Export,2017,34771.69
France,Import,2018,60790.01
France,Export,2018,29777.1
France,Import,2019,63718.98
France,Export,2019,27995.83
France,Import,2020,57436.9
France,Export,2020,33255.24
France,Import,2021,48015.12
France,Export,2021,35042.34
France,Import,2022,69925.3
France,Export,2022,24762.07
France,Import,2023,60440.86
France,Export,2023,24388.57
Germany,Import,2013,370979
Germany,Export,2013,121655
Germany,Import,2014,399888.54
Germany,Export,2014,150640.99
Germany,Import,2015,410036.39
Germany,Export,2015,142278.56
Germany,Import,2016,440775.76
Germany,Export,2016,155954.53
Germany,Import,2017,412711.7
Germany,Export,2017,148918.97
Germany,Import,2018,412783.42
Germany,Export,2018,134178.43
Germany,Import,2019,396641.35
Germany,Export,2019,135590.75
Germany,Import,2020,382356.09
Germany,Export,2020,118438.34
Germany,Import,2021,325346.09
Germany,Export,2021,117461.35
Germany,Import,2022,316948.03
Germany,Export,2022,115141.13
Germany,Import,2023,337901.03
Germany,Export,2023,109568.32
Greece,Import,2013,22995
Greece,Export,2013,213
Greece,Import,2014,15376.88
Greece,Export,2014,334.67
Greece,Import,2015,10622.94
Greece,Export,2015,752.7
Greece,Import,2016,9958.33
Greece,Export,2016,590.24
Greece,Import,2017,12888.4
Greece,Export,2017,529.82
Greece,Import,2018,13597.24
Greece,Export,2018,502.47
Greece,Import,2019,16047.4
Greece,Export,2019,1711.46
Greece,Import,2020,16869.24
Greece,Export,2020,3281.2
Greece,Import,2021,16988.46
Greece,Export,2021,1747.9
Greece,Import,2022,22424.69
Greece,Export,2022,1291.5
Greece,Import,2023,22714.64
Greece,Export,2023,1778.43
Hungary,Import,2013,9036
Hungary,Export,2013,9682
Hungary,Import,2014,12392.5
Hungary,Export,2014,10070.01
Hungary,Import,2015,12634.2
Hungary,Export,2015,10948.5
